Property_Type,Property_Purpose,Baths,Bedrooms,City,Area,Area_Name,Property_Price
Flat,For Sale,3,3,Lahore,10.0,Askari,30000000
Flat,For Sale,2,2,Lahore,3.9,Bahria Orchard,20000000
Flat,For Sale,6,5,Lahore,32.0,Cavalry Ground,110000000
Flat,For Sale,1,1,Lahore,2.8,Raiwind Road,8000000
Flat,For Sale,3,3,Lahore,8.0,Raiwind Road,30000000
House,For Sale,6,5,Lahore,12.0,Raiwind Road,50000000
House,For Sale,8,7,Lahore,40.0,DHA Defence,150000000
House,For Sale,7,6,Lahore,40.0,DHA Defence,300000000
House,For Sale,4,4,Lahore,5.0,Raiwind Road,20000000
House,For Sale,6,5,Lahore,20.0,DHA Defence,70000000
House,For Sale,8,5,Lahore,20.0,Main Canal Bank Road,70000000
House,For Sale,4,3,Lahore,9.5,Central Park Housing Scheme,20000000
House,For Sale,4,3,Lahore,5.0,New Lahore City,20000000
House,For Sale,6,7,Lahore,10.0,Allama Iqbal Town,40000000
House,For Sale,6,9,Lahore,40.0,Allama Iqbal Town,130000000
House,For Sale,8,7,Lahore,10.0,Wapda Town,40000000
House,For Sale,4,3,Lahore,10.0,Askari,40000000
House,For Sale,3,3,Lahore,3.0,Al Rehman Garden,8000000
House,For Sale,4,4,Lahore,6.0,Al Rehman Garden,20000000
House,For Sale,4,3,Lahore,3.0,Gulshan Park,9000000
House,For Sale,6,5,Lahore,20.0,DHA Defence,70000000
House,For Sale,6,5,Lahore,20.0,State Life Housing Society,50000000
House,For Sale,5,5,Lahore,9.0,TIP Housing Society,30000000
House,For Sale,5,5,Lahore,10.0,Jubilee Town,30000000
House,For Sale,4,3,Lahore,5.0,Green City,30000000
House,For Sale,4,3,Lahore,5.0,Green City,30000000
House,For Sale,4,3,Lahore,5.0,Green City,30000000
House,For Sale,4,3,Lahore,5.0,Green City,30000000
House,For Sale,4,3,Lahore,5.0,Green City,30000000
House,For Sale,4,3,Lahore,5.0,Green City,30000000
House,For Rent,6,5,Lahore,20.0,Bahria Town,300000
House,For Rent,6,6,Lahore,20.0,Johar Town,300000
House,For Rent,6,6,Lahore,20.0,DHA Defence,200000
House,For Rent,4,4,Lahore,5.0,Punjab University Employees Society,55000
House,For Rent,6,5,Lahore,10.0,Canal Garden,100000
House,For Rent,7,6,Lahore,20.0,DHA Defence,400000
House,For Rent,2,3,Lahore,5.0,Raiwind Road,35000
House,For Rent,4,3,Lahore,5.0,DHA Defence,200000
House,For Rent,6,5,Lahore,24.0,DHA Defence,200000
House,For Rent,4,3,Lahore,5.0,DHA Defence,60000
House,For Rent,6,5,Lahore,20.0,DHA Defence,300000
House,For Rent,4,3,Lahore,10.0,Askari,100000
House,For Rent,5,5,Lahore,7.0,Nawab Town,70000
House,For Rent,4,4,Lahore,6.0,Nawab Town,65000
House,For Rent,5,4,Lahore,10.0,Green City,90000
House,For Rent,6,5,Lahore,10.0,Bahria Town,200000
House,For Rent,6,5,Lahore,20.0,DHA Defence,300000
House,For Rent,5,4,Lahore,10.0,DHA Defence,200000
House,For Rent,6,5,Lahore,20.0,DHA Defence,200000
House,For Rent,5,5,Lahore,10.0,Nasheman-e-Iqbal,100000
House,For Rent,4,4,Lahore,10.0,Wapda Town,200000
House,For Rent,3,3,Lahore,5.0,Wapda Town,65000
House,For Rent,10,10,Lahore,24.0,DHA Defence,500000
House,For Rent,4,3,Lahore,5.0,DHA Defence,70000
House,For Rent,5,4,Lahore,20.0,DHA Defence,200000
Flat,For Rent,1,1,Lahore,2.3,Bahria Town,42000
Flat,For Rent,1,1,Lahore,2.0,Bahria Town,33000
Flat,For Rent,1,1,Lahore,5.0,Cantt,25000
Flat,For Rent,3,2,Lahore,6.7,Shanghai Road,55000
Flat,For Rent,1,2,Lahore,2.0,Allama Iqbal Town,28000
Flat,For Rent,4,2,Lahore,10.0,Gulberg,300000
Flat,For Rent,2,2,Lahore,3.5,Bahria Town,50000
Flat,For Rent,2,2,Lahore,4.7,Bahria Town,51000
Flat,For Rent,1,1,Lahore,2.4,Bahria Town,28000
Flat,For Rent,1,1,Lahore,2.3,Bahria Town,30000
Flat,For Rent,4,3,Lahore,10.0,Askari,70000
Flat,For Rent,2,2,Lahore,4.4,Davis Road,50000
Flat,For Rent,1,1,Lahore,2.4,Bahria Town,35000
Flat,For Rent,1,1,Lahore,4.0,State Life Housing Society,25000
Flat,For Rent,1,1,Lahore,2.3,Bahria Town,40000
Flat,For Rent,2,1,Lahore,2.0,Punjab Coop Housing Society,29000
Flat,For Rent,5,5,Lahore,3.1,Canal Garden,22000
Flat,For Rent,3,3,Lahore,10.0,Askari,73000
Flat,For Rent,5,5,Lahore,7.8,Gulberg,300000
Flat,For Rent,3,3,Lahore,10.0,Askari,74000
Flat,For Rent,3,3,Lahore,10.0,Askari,68000
Flat,For Rent,3,3,Lahore,10.0,Askari,75000
Flat,For Rent,3,3,Lahore,10.0,Askari,70000
Flat,For Rent,3,3,Lahore,10.0,Askari,66000
Flat,For Rent,3,3,Lahore,10.0,Askari,72000
Flat,For Sale,1,1,Lahore,3.0,Bahria Orchard,8800000
Flat,For Sale,2,1,Lahore,1.8,Noor Jahan Road,9900000
Flat,For Sale,3,2,Lahore,6.2,DHA Defence,30000000
Flat,For Sale,3,3,Lahore,10.0,Askari,30000000
Flat,For Sale,2,1,Lahore,1.9,Bahria Town,4600000
Flat,For Sale,3,3,Lahore,10.0,Askari,30000000
Flat,For Sale,1,1,Lahore,2.7,Bahria Town,9600000
Flat,For Sale,1,5,Lahore,1.6,Bahria Town,5700000
Flat,For Sale,3,3,Lahore,10.0,Askari,30000000
Flat,For Sale,3,3,Lahore,10.0,Askari,30000000
Flat,For Sale,3,3,Lahore,10.0,Askari,30000000
Flat,For Sale,5,5,Lahore,3.1,DHA Defence,20000000
Flat,For Sale,2,2,Lahore,6.7,Raiwind Road,20000000
Flat,For Sale,1,5,Lahore,2.2,Raiwind Road,6000000
Flat,For Sale,2,2,Lahore,3.6,Bahria Town,20000000
Flat,For Sale,2,2,Lahore,3.4,Bahria Town,20000000
Flat,For Sale,1,1,Lahore,1.8,Bahria Town,6500000
Flat,For Sale,1,1,Lahore,1.8,Bahria Town,6300000
Flat,For Sale,1,5,Lahore,1.4,Bahria Town,5000000
Flat,For Sale,1,5,Lahore,1.5,Bahria Town,5200000
House,For Sale,6,5,Lahore,20.0,DHA Defence,70000000
House,For Sale,4,3,Lahore,5.0,DHA Defence,20000000
House,For Sale,6,5,Lahore,20.0,DHA Defence,70000000
House,For Sale,6,5,Lahore,20.0,DHA Defence,70000000
House,For Sale,5,4,Lahore,5.0,Raiwind Road,20000000
House,For Sale,4,3,Lahore,5.0,Bahria Town,20000000
House,For Sale,6,6,Lahore,7.0,Jubilee Town,30000000
House,For Sale,5,4,Lahore,8.0,DHA Defence,30000000
House,For Sale,5,4,Lahore,10.0,DHA Defence,50000000
House,For Sale,6,5,Lahore,20.0,DHA Defence,70000000
House,For Sale,4,3,Lahore,10.0,Askari,40000000
House,For Sale,5,5,Lahore,10.0,Architects Engineers Housing Society,30000000
House,For Sale,6,5,Lahore,20.0,DHA Defence,80000000
House,For Sale,6,5,Lahore,20.0,DHA Defence,80000000
House,For Sale,4,3,Lahore,5.0,Bahria Town,20000000
House,For Sale,6,5,Lahore,10.0,Bahria Town,40000000
House,For Sale,6,5,Lahore,10.0,Bahria Town,50000000
House,For Sale,4,3,Lahore,5.0,Green City,30000000
